,Unnamed: 0,Unnamed: 1,Unnamed: 2,Confirmed
0,WHO Regional Office,Country/Territory/Area,,
1,,,,Cases
2,,China,Total,309*
3,,,Hubei Province,270
4,,,Guangdong Province,17
5,,,Beijing Municipality,5
6,,,Shanghai Municipality,2
7,,,Chongqing Municipality,1
8,,,Zhejiang Province,5
9,,,Jiangxi Province,2
10,WHO WPRO Region,,Sichuan Province,1
11,,,Tianjin Municipality,2
12,,,Henan Province,1
13,,,Hunan Province,1
14,,,Shandong Province,1
15,,,Yunnan Province,1
16,,,"Taiwan, China",1
17,,Japan,,1
18,,Republic of Korea,,1
19,WHO SEARO Region,Thailand,,2
20,Total Confirmed cases,Total,,314
