,WHO Regional Office,Country/Territory/Area,Confirmed Cases
0,,China*,7736.0
1,,Japan,11.0
2,,Republic of Korea,4.0
3,Western Pacific,,
4,,Viet Nam,2.0
5,,,
6,,Singapore,10.0
7,,,
8,,Australia,7.0
9,,,
10,,Malaysia,7.0
11,,Cambodia,1.0
12,,Philippines,1.0
13,,Thailand,14.0
14,,Nepal,1.0
15,South-East Asia,,
16,,Sri Lanka,1.0
17,,India,1.0
18,,United States of America,5.0
19,Region of the Americas,,
20,,Canada,3.0
21,,France,5.0
22,European Region,Finland,1.0
23,,Germany,4.0
24,Eastern Mediterranean,United Arab Emirates,4.0
25,Total Confirmed cases,Total,7818.0
