,Province/Region/City,Confirmed Cases
0,Hubei,9074
1,Zhejiang,661
2,Guangdong,604
3,Henan,493
4,Hunan,463
5,Anhui,340
6,Jiangxi,333
7,Chongqing,262
8,Sichuan,236
9,Jiangsu,231
10,Shandong,225
11,Beijing,183
12,Shanghai,177
13,Fujian,159
14,Shaanxi,116
15,Guangxi,111
16,Hebei,104
17,Yunnan,99
18,Heilongjiang,95
19,Liaoning,64
20,Hainan,63
21,Shanxi,56
22,Gansu,45
23,Tianjin,40
24,Guizhou,38
25,Ningxia,28
26,Inner Mongolia,26
27,Xinjiang,23
28,Jilin,21
29,Hong Kong SAR,14
30,Taipei,10
31,Qinghai,9
32,Macau SAR,7
33,Xizang,1
34,Total,14411
