,Province/Region/City,Confirmed Cases
0,Hubei,11177.0
1,Zhejiang,724.0
2,Guangdong,683.0
3,Henan,566.0
4,Hunan,521.0
5,Anhui,408.0
6,Jiangxi,391.0
7,Chongqing,300.0
8,Jiangsu,271.0
9,Sichuan,254.0
10,Shandong,246.0
11,Beijing,212.0
12,Shanghai,193.0
13,Fujian,179.0
14,Shaanxi,128.0
15,Guangxi,127.0
16,Heilongjiang,118.0
17,Hebei,113.0
18,Yunnan,109.0
19,Liaoning,70.0
20,Hainan,70.0
21,Shanxi,66.0
22,Gansu,51.0
23,Tianjin,49.0
24,Guizhou,46.0
25,Inner Mongolia,33.0
26,Jilin,31.0
27,Ningxia,31.0
28,Xinjiang,24.0
29,Hong Kong Sar,15.0
30,Qinghai,13.0
31,Taipei,10.0
32,Macao Sar,8.0
33,Xizang,1.0
34,,17238.0
35,Total,
