,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total (new) cases Total (new) cases,Unnamed: 3
0,,,Total (new),,
1,,,Confirmed,with possible or with site of,
2,WHO Regional,,cases with,,Total (new)
3,,Country/Territory/Area,(new),confirmed transmission,
4,Office,,travel history,,deaths
5,,,cases,transmission under,
6,,,to China,,
7,,,,outside of China investigation,
8,,,17238,,
9,,China*,,,361 (57)
10,,,(2831),,
11,Western Pacific,Japan,20 17,3 0,0
12,,Republic of Korea,15 8,4 3,0
13,,Viet Nam,8 (1) 6 (1),2 0,0
14,,,,,
15,,Singapore,18 18,0 0,0
16,,,,,
17,,Australia,12 12,0 0,0
18,,Malaysia,8 7,1 0,0
19,,Cambodia,1 1,0 0,0
20,,Philippines,2 1,0 1,1
21,,Thailand,19 18,1 0,0
22,,Nepal,1 1,0 0,0
23,South-East Asia,,,,
24,,Sri Lanka,1 1,0 0,0
25,,India,3 (1) 3(1),0 0,0
26,,United States of,,,
27,Region of the,,11 (3) 8(1),2(1) (1),0
28,,America,,,
29,Americas,,,,
30,,Canada,4 3,0 1,0
31,,France,6 5,1 0,0
32,,Finland,1 1,0 0,0
33,,Germany,10 (2) 2 (2),8 0,0
34,,Italy,2 2,0 0,0
35,European Region,,,,
36,,Russian Federation,2 2,0 0,0
37,,Spain,1 0,1 0,0
38,,Sweden,1 1,0 0,0
39,,United Kingdom,2 1,1 0,0
40,Eastern,,,,
41,,United Arab Emirates,5 5,0 0,0
42,Mediterranean,,,,
43,Total Confirmed,,17391,,
44,,Total,123 (5),24 (1) 6 (1),362 (57)
45,cases,,(2838),,
