,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total (new),Total (new) cases Total (new),Unnamed: 3
0,,,,cases with,with possiblecases with site,
1,,Country/Territory/,Confirmed,,,Total (new)
2,WHO Region,,,travel,or confirmed of transmission,
3,,Area,(new) cases,,,deaths
4,,,,history to,transmission under,
5,,,,China,outside of China investigation,
6,,China*,20471 (3235),,,425 (64)
7,,Japan,20,17,3 0,0
8,Western Pacific Region,,,,,
9,,Republic of Korea,16 (1),8,5 (1) 3,0
10,,,,,,
11,,Viet Nam,9 (1),7 (1),2  0,0
12,,Singapore,18,18,0 0,0
13,,Australia,12,12,0 0,0
14,,,,,,
15,,Malaysia,10 (2),7,2 (1) 1 (1),0
16,,,,,,
17,,Cambodia,1,1,0 0,0
18,,Philippines,2,1,0 1,1
19,,Thailand,19,18,1 0,0
20,,Nepal,1,1,0 0,0
21,South-East Asia Region,,,,,
22,,Sri Lanka,1,1,0 0,0
23,,India,3,3,0 0,0
24,,United States of,,,,
25,,,11,8,2 1,0
26,Region of the Americas,America,,,,
27,,Canada,4,3,0 1,0
28,,France,6,5,1 0,0
29,,Finland,1,1,0 0,0
30,,Germany,12 (2),2,10 (2) 0,0
31,,Italy,2,2,0 0,0
32,European Region,,,,,
33,,Russian Federation,2,2,0 0,0
34,,Spain,1,0,1 0,0
35,,Sweden,1,1,0 0,0
36,,United Kingdom,2,1,1 0,0
37,Eastern Mediterranean,United Arab,,,,
38,,,5,5,0 0,0
39,Region,Emirates,,,,
