,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total (new),Total (new) cases Total (new),Unnamed: 3
0,,,,cases with,with possibleor cases with site,
1,,Country/Territory/Ar,Confirmed,,,Total (new)
2,WHO Region,,,travel,confirmed of transmission,
3,,ea,(new) cases,,,deaths
4,,,,history to,transmission under,
5,,,,China,outside of China investigation,
6,,China*,24363 (3893),,,491 (66)
7,,Japan,33 (13),20 (3),13 (10)  0,0
8,Western Pacific Region,,,,,
9,,Republic of Korea,18 (2),8,7 (2) 3,0
10,,,,,,
11,,Viet Nam,10 (1),7,3 (1)  0,0
12,,Singapore,24 (6),20 (2),4 (4) 0,0
13,,Australia,13 (1),13 (1),0 0,0
14,,,,,,
15,,Malaysia,10,7,2  1,0
16,,,,,,
17,,Cambodia,1,1,0 0,0
18,,Philippines,3 (1),2 (1),0 1,1
19,,Thailand,25 (6),20 (2),5 (4) 0,0
20,,Nepal,1,1,0 0,0
21,South-East Asia Region,,,,,
22,,Sri Lanka,1,1,0 0,0
23,,India,3,3,0 0,0
24,,United States of,,,,
25,,,11,8,2 1,0
26,Region of the Americas,America,,,,
27,,Canada,5 (1),3,0 2(1),0
28,,France,6,5,1 0,0
29,,Finland,1,1,0 0,0
30,,Germany,12,2,10  0,0
31,,Italy,2,2,0 0,0
32,European Region,Russian Federation,2,2,0 0,0
33,,Spain,1,0,1 0,0
34,,Sweden,1,1,0 0,0
35,,United Kingdom,2,1,1 0,0
36,,Belgium,1 (1),1 (1),0 0,0
37,Eastern Mediterranean,,,,,
38,,United Arab Emirates,5,5,0 0,0
39,Region,,,,,
