,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,,,Total (new) cases,,Total (new),
1,,,,(new),,,
2,,,Confirmed*,cases with,withpossible,cases with site,Total (new)
3,WHO Region Country/Territory/Area,,,,or confirmed,of transmission,
4,,,(new) cases,travel,,,deaths
5,,,,,transmission,under,
6,,,,history to,outside of China†,investigation,
7,,,,China,,,
8,China‡,,28 060(3697),,,,564 (73)
9,Singapore,,28 (4),21 (1),7 (3),0 (0),0
10,Western Pacific Region,,,,,,
11,Japan,,25 (2),21 (1),4 (1),0,0
12,,,,,,,
13,Republic of Korea,,23 (5),10 (1),11 (3),2 (1),0
14,Australia,,14 (1),14 (1),0 (0),0 (0),0
15,Malaysia,,12 (2),9 (2),2 (0),1 (0),0
16,,,,,,,
17,Viet Nam,,10 (0),7 (0),3 (0),0 (0),0
18,,,,,,,
19,Philippines,,3 (0),2 (0),0 (0),1 (0),1
20,Cambodia,,1 (0),1 (0),0 (0),0 (0),0
21,Thailand,,25 (0),21 (0),4 (0),0 (0),0
22,India,,3 (0),3 (0),0 (0),0 (0),0
23,South-East Asia Region,,,,,,
24,Nepal,,1 (0),1 (0),0 (0),0 (0),0
25,Sri Lanka,,1 (0),1 (0),0 (0),0 (0),0
26,United States of,,,,,,
27,,,,,,,0
28,Region of the Americas America,,12 (1),10 (1),2 (0),0 (0),
29,Canada,,5 (0),3 (0),0 (0),2 (0),0
30,Germany,,12 (0),2 (0),10 (0),0 (0),0
31,France,,6 (0),5 (0),1 (0),0 (0),0
32,Italy,,2 (0),2 (0),0 (0),0 (0),0
33,Russian Federation,,2 (0),2 (0),0 (0),0 (0),0
34,European Region The United Kingdom,,2 (0),1 (0),1 (0),0 (0),0
35,Belgium,,1 (0),1 (0),0 (0),0 (0),0
36,Finland,,1 (0),1 (0),0 (0),0 (0),0
37,Spain,,1 (0),0 (0),1§ (0),0 (0),0
38,Sweden,,1 (0),1 (0),0 (0),0 (0),0
39,Eastern Mediterranean,,,,,,
40,,,,,,,0
41,Region United Arab Emirates,,5 (0),5 (0),0 (0),0 (0),
42,Cases on an,,,,,,
43,Other international,,,,,,0
44,conveyance (Japan),,20**(10),0(0),0(0),20 (10),
