,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5
0,,,,,Total (new) cases,Total (new),
1,,,,,(new),,
2,,,Confirmed  *,,withcases with possible,cases with site,Total (new)
3,WHO Region,Country/Territory/Area,,,or confirmed,of transmission,
4,,,(new) cases,,travel,,deaths
5,,,,,transmission,under,
6,,,,,history to outside of China†,investigation,
7,,,,,China,,
8,,China‡,31 211 (3151),,,,637 (73)
9,,Singapore,30 (2),,21 (0) 9 (2),0 (0),0 (0)
10,Western Pacific Region,,,,,,
11,0 (0),Japan,25 (0),,21 (0) 4 (0),0 (0),
12,,Republic of Korea,24 (1),,11 (1) 11 (0),2 (0),0 (0)
13,,Australia,15 (1),,15 (1) 0 (0),0 (0),0 (0)
14,,Malaysia,14 (2),,9 (0) 4 (1),1 (1),0 (0)
15,,,,,,,
16,,Viet Nam,12 (2),,7 (0) 5 (2),0 (0),0 (0)
17,,,,,,,
18,,Philippines,3 (0),,2 (0) 0 (0),1 (0),1 (0)
19,,Cambodia,1 (0),,1 (0) 0 (0),0 (0),0 (0)
20,,Thailand,25 (0),,21 (0) 4 (0),0 (0),0 (0)
21,,India,3 (0),,3 (0) 0 (0),0 (0),0 (0)
22,South-East Asia Region,,,,,,
23,,Nepal,1 (0),,1 (0) 0 (0),0 (0),0 (0)
24,,Sri Lanka,1 (0),,1 (0) 0 (0),0 (0),0 (0)
25,,United States of,,,,,
26,Region of the Americas America,,12 (0),,10 (0) 2 (0),0 (0),0 (0)
27,,Canada,7 (2),,6 (2) 0 (0),1 (0),0 (0)
28,,Germany,13 (1),,2 (0) 11 (1),0 (0),0 (0)
29,,France,6 (0),,5 (0) 1 (0),0 (0),0 (0)
30,,Italy,3 (1),,3 (1) 0 (0),0 (0),0 (0)
31,,The United Kingdom,3 (1),,1 (0) 2 (1***),0 (0),0 (0)
32,European Region,Russian Federation,2 (0),,2 (0) 0 (0),0 (0),0 (0)
33,,Belgium,1 (0),,1 (0) 0 (0),0 (0),0 (0)
34,,Finland,1 (0),,1 (0) 0 (0),0 (0),0 (0)
35,,Spain,1 (0),,0 (0) 1§ (0),0 (0),0 (0)
36,,Sweden,1 (0),,1 (0) 0 (0),0 (0),0 (0)
37,Eastern Mediterranean,,,,,,
38,Region,United Arab Emirates,5 (0),,5 (0) 0 (0),0 (0),0 (0)
39,International Other,,,,,,
40,,conveyance (Japan),61** (41),,0 (0) 0 (0),61 (41),0 (0)
