,Province/Region/City1,"Population (in 10,000s)",Confirmed Cases
0,Hubei,5917,34874
1,Guangdong,11346,1241
2,Zhejiang,5737,1145
3,Henan,9605,1169
4,Hunan,6899,968
5,Anhui,6324,910
6,Jiangxi,4648,872
7,Jiangsu,8051,570
8,Chongqing,3102,518
9,Shandong,10047,506
10,Sichuan,8341,451
11,Heilongjiang,3773,395
12,Beijing,2154,366
13,Shanghai,2424,313
14,Fujian,3941,279
15,Hebei,7556,265
16,Shaanxi,3864,229
17,Guangxi,4926,222
18,Yunnan,4830,155
19,Hainan,934,157
20,Shanxi,3718,126
21,Guizhou,3600,135
22,Liaoning,4359,116
23,Tianjin,1560,112
24,Gansu,2637,87
25,Jilin,2704,84
26,Inner Mongolia,2534,61
27,Xinjiang,2487,63
28,Ningxia,688,64
29,Hong Kong SAR,745,50
30,Qinghai,603,18
31,Taipei and environs,2359,18
32,Macao SAR,66,10
33,Xizang,344,1
34,Total,142823,46550
