,Province/Region/City,"Population(10,000s)",Unnamed: 0,Daily,Unnamed: 1,Unnamed: 2,Cumulative,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,,Province/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Region/,Lab-confirmed,Clinicallydiagnosed,Totalcases,Suspectedcases,Deaths,Lab-confirmed,Clinicallydiagnosed,Totalcases,Deaths,,,,,,,,,,,,,,,,,,,,,,
3,,,,,"(10,000s)",Lab-,Clinically,Total,uspected,Lab-,Clinically,Total,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,eath,Death,,,,,,,,,,,,
5,,City,confirme,diagnosed,cases,cases,onfirmed,diagnose,cases,,,,,,,,,,,,,,,,,,,,,,,,
6,,Hubei,,,5917,,,1728,,,3095,,,823.0,,,1154.0,,,116,,,36 602,,,15 384,,,1 986,,,1318.0,
7,Guangdong,11 346,20,-,20,8,0,1261,-,1261,2,,,,,,,,,,,,,,,,,,,,,,
8,,Henan,,,9605,,,15,,,-,,,15.0,,,207.0,,,1,,,1184,,,-,,,1184,,,11.0,
9,Zhejiang,5737,10,-,10,22,0,1155,-,1155,0,,,,,,,,,,,,,,,,,,,,,,
10,,Hunan,,,6899,,,20,,,-,,,20.0,,,53.0,,,0,,,988,,,-,,,988,,,2.0,
11,Anhui,6324,24,-,24,16,1,934,-,934,6,,,,,,,,,,,,,,,,,,,,,,
12,,Jiangxi,,,4648,,,28,,,-,,,28.0,,,43.0,,,0,,,900,,,-,,,900,,,1.0,
13,Jiangsu,8051,23,-,23,14,0,593,-,593,0,,,,,,,,,,,,,,,,,,,,,,
14,,Chongqing,,,3102,,,11,,,-,,,11.0,,,138.0,,,1,,,529,,,-,,,529,,,4.0,
15,Shandong,10 047,13,-,13,37,0,519,-,519,2,,,,,,,,,,,,,,,,,,,,,,
16,,Sichuan,,,8341,,,12,,,-,,,12.0,,,77.0,,,0,,,463,,,-,,,463,,,1.0,
17,Heilongjiang,3773,23,-,23,35,2,418,-,418,11,,,,,,,,,,,,,,,,,,,,,,
18,,Beijing,,,2154,,,6,,,-,,,6.0,,,54.0,,,0,,,372,,,-,,,372,,,3.0,
19,Shanghai,2424,5,-,5,81,0,318,-,318,1,,,,,,,,,,,,,,,,,,,,,,
20,,Hebei,,,7556,,,18,,,-,,,18.0,,,12.0,,,0,,,283,,,-,,,283,,,3.0,
21,Fujian,3941,2,-,2,23,0,281,-,281,0,,,,,,,,,,,,,,,,,,,,,,
22,,Shaanxi,,,3864,,,1,,,-,,,1.0,,,37.0,,,0,,,230,,,-,,,230,,,0.0,
23,Guangxi,4926,4,-,4,79,0,226,-,226,2,,,,,,,,,,,,,,,,,,,,,,
24,,Yunnan,,,4830,,,7,,,-,,,7.0,,,29.0,,,0,,,162,,,-,,,162,,,0.0,
25,Hainan,934,0,-,0,32,0,157,-,157,4,,,,,,,,,,,,,,,,,,,,,,
26,,Guizhou,,,3600,,,5,,,-,,,5.0,,,16.0,,,0,,,140,,,-,,,140,,,1.0,
27,Shanxi,3718,0,-,0,24,0,126,-,126,0,,,,,,,,,,,,,,,,,,,,,,
28,,Tianjin,,,1560,,,7,,,-,,,7.0,,,172.0,,,0,,,119,,,-,,,119,,,3.0,
29,Liaoning,4359,1,-,1,66,0,117,-,117,1,,,,,,,,,,,,,,,,,,,,,,
30,,Gansu,,,2637,,,3,,,-,,,3.0,,,0.0,,,0,,,90,,,-,,,90,,,2.0,
31,Jilin,2704,2,-,2,10,0,86,-,86,1,,,,,,,,,,,,,,,,,,,,,,
32,,Ningxia,,,688,,,3,,,-,,,3.0,,,5.0,,,0,,,67,,,-,,,67,,,0.0,
33,Xinjiang,2487,2,-,2,5,0,65,-,65,1,,,,,,,,,,,,,,,,,,,,,,
34,,Inner Mongolia,,,2534,,,2,,,-,,,2.0,,,1.0,,,0,,,63,,,-,,,63,,,0.0,
35,Hong Kong Sar,745,3,-,3,0,0,53,-,53,1,,,,,,,,,,,,,,,,,,,,,,
36,,Qinghai,,,603,,,0,,,-,,,0.0,,,0.0,,,0,,,18,,,-,,,18,,,0.0,
37,Taipei and environs,2359,0,-,0,0,0,18,-,18,0,,,,,,,,,,,,,,,,,,,,,,
38,,Macao Sar,,,66,,,0,,,-,,,0.0,,,0.0,,,0,,,10,,,-,,,10,,,0.0,
39,Xizang,344,0,-,0,0,0,1,-,1,0,,,,,,,,,,,,,,,,,,,,,,
40,,Totals,,,142 823,,,1998,,,3095,,,9.0,,,2450.0,,,121,,,48 548,,,15 384,,,3 932,,,1381.0,
