,Province/,Unnamed: 0,Unnamed: 1,Unnamed: 2,Daily,Unnamed: 3,Unnamed: 4,Unnamed: 5,Cumulative,Unnamed: 6
0,,Population,,,,,,,,
1,Region/,,,,,,,,,
2,,"(10,000s)",Laboratory,Clinically,Total,Suspected,Deaths,Laboratory,Clinically Total,Deaths
3,City,,confirmed,diagnosed,cases,cases,,confirmed,diagnosed cases,
4,Hubei,5917,1282,1138,2420,1216,139,37884,16522 54406,1457
5,Guangdong,11346,33,-,33,9,0,1294,- 1294,2
6,Henan,9605,28,-,28,153,2,1212,- 1212,13
7,Zhejiang,5737,7,-,7,23,0,1162,- 1162,0
8,Hunan,6899,13,-,13,50,0,1001,- 1001,2
9,Anhui,6324,16,-,16,13,0,950,- 950,6
10,Jiangxi,4648,13,-,13,21,0,913,- 913,1
11,Jiangsu,8051,11,-,11,3,0,604,- 604,0
12,Chongqing,3102,8,-,8,98,1,537,- 537,5
13,Shandong,10047,11,-,11,27,0,530,- 530,2
14,Sichuan,8341,7,-,7,72,0,470,- 470,1
15,Heilongjiang,3773,7,-,7,48,0,425,- 425,11
16,Beijing,2154,3,-,3,51,1,375,- 375,4
17,Shanghai,2424,8,-,8,87,0,326,- 326,1
18,Hebei,7556,8,-,8,8,0,291,- 291,3
19,Fujian,3941,4,-,4,6,0,285,- 285,0
20,Guangxi,4926,9,-,9,44,0,235,- 235,2
21,Shaanxi,3864,2,-,2,37,0,232,- 232,0
22,Yunnan,4830,6,-,6,39,0,168,- 168,0
23,Hainan,934,5,-,5,36,0,162,- 162,4
24,Guizhou,3600,3,-,3,4,0,143,- 143,1
25,Shanxi,3718,1,-,1,12,0,127,- 127,0
26,Tianjin,1560,1,-,1,128,0,120,- 120,3
27,Liaoning,4359,2,-,2,66,0,119,- 119,1
28,Gansu,2637,0,-,0,4,0,90,- 90,2
29,Jilin,2704,2,-,2,8,0,88,- 88,1
30,Ningxia,688,3,-,3,3,0,70,- 70,0
31,Xinjiang,2487,5,-,5,4,0,70,- 70,1
32,Inner Mongolia,2534,5,-,5,7,0,68,- 68,0
33,Hong Kong Sar,745,3,-,3,0,0,56,- 56,1
34,Taipei and environs,2359,0,-,0,0,0,18,- 18,0
35,Qinghai,603,0,-,0,0,0,18,- 18,0
36,Macao Sar,66,0,-,0,0,0,10,- 10,0
37,Xizang,344,0,-,0,0,0,1,- 1,0
38,Total,142823,1506,1138,2644,2277,143,50054,16522 66576,1524
