,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases* cases,Deaths cases Deaths
5,,
6,Hubei 5917 1807 788,93 59989 1789
7,Guangdong 11346 6 0,0 1328 4
8,Henan 9605 11 102,3 1257 19
9,Zhejiang 5737 1 15,0 1172 0
10,Hunan 6899 1 15,1 1007 4
11,Anhui 6324 9 7,0 982 6
12,Jiangxi 4648 3 0,0 933 1
13,Jiangsu 8051 3 4,0 629 0
14,Chongqing 3102 2 50,0 553 5
15,Shandong 10047 2 17,0 543 2
16,Sichuan 8341 13 28,0 508 3
17,Heilongjiang 3773 7 32,0 464 11
18,Beijing 2154 6 49,0 387 4
19,Shanghai 2424 2 65,0 333 1
20,Hebei 7556 1 1,1 302 4
21,Fujian 3941 2 2,0 292 0
22,Guangxi 4926 4 21,0 242 2
23,Shaanxi 3864 0 22,0 240 0
24,Yunnan 4830 1 18,0 172 0
25,Hainan 934 1 22,0 163 4
26,Guizhou 3600 0 2,0 146 1
27,Shanxi 3718 1 6,0 130 0
28,Tianjin 1560 1 83,0 125 3
29,Liaoning 4359 0 64,0 121 1
30,Gansu 2637 0 0,0 91 2
31,Jilin 2704 0 14,0 89 1
32,Xinjiang 2487 1 1,0 76 1
33,Inner Mongolia 2534 1 0,0 73 0
34,Ningxia 688 0 4,0 70 0
35,Hong Kong SAR 745 3 0,0 60 1
36,Taipei and environs 2359 2 0,0 22 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 1891 1432,98 72528 1870
