,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure†,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,Country/Territory/,Confirmed  *,,reporting In,Total cases with site of,Total
2,Area,cases (new),,China country and reporting,transmission under,deaths
3,,,,(new),investigation (new),(new)
4,,,,outside country,,
5,,,,China (new),,
6,Western Pacific Region,,,,,
7,Singapore,81 (4),,23 (0) 0 (0) 51 (3),7 (1),0 (0)
8,Japan,73 (8),,26 (0) 3 (2) 39 (3),5 (3),1 (0)
9,Republic of Korea,51 (20),,13 (0) 4 (0) 29 (18),5 (2),0 (0)
10,Malaysia,22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
11,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
12,Australia,15 (0),,12 (0) 0 (0) 3 (0),0 (0),0 (0)
13,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
14,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
15,South-East Asia Region,,,,,
16,Thailand,35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
17,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
18,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
19,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Region of the Americas,,,,,
21,United States of,15 (0),,13 (0) 0 (0) 2 (0),0 (0),0 (0)
22,America,,,,,
23,Canada,8 (0),,7 (0) 0 (0) 0 (0),1 (0),0 (0)
24,European Region,,,,,
25,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
26,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
27,The United,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
28,Kingdom,,,,,
29,Italy,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
30,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
31,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
32,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
33,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
34,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
35,Eastern Mediterranean Region,,,,,
36,United Arab,9 (0),,6 (0) 0 (0) 2 (0),1 (0),0 (0)
37,Emirates,,,,,
38,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
39,Other,,,,,
40,International,542 (88),,0 (0) 0 (0) 0 (0),542 (88),0 (0)
41,conveyance‡,,,,,
42,(Diamond Princess),,,,,
