,Unnamed: 0,Unnamed: 1,Likely place of exposure†,Unnamed: 2,Unnamed: 3
0,,,Outside,Total cases with site of,Total
1,Country/Territory/ Confirmed*,,In reporting,,
2,Area cases (new),,China country and reporting,transmission under,deaths
3,,,(new) country,investigation (new),(new)
4,,,outside,,
5,,,(new),,
6,,,China (new),,
7,Western Pacific Region,,,,
8,Republic of Korea 104 (53),,13 (0) 4 (0) 72 (43),15 (10),1 (1)
9,Japan 85 (12),,26 (0) 5 (2) 46 (7),8 (3),1 (0)
10,Singapore 84 (3),,23 (0) 0 (0) 54 (3),7 (0),0 (0)
11,Malaysia 22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
12,Viet Nam 16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
13,Australia 15 (0),,12 (0) 0 (0) 3 (0),0 (0),0 (0)
14,Philippines 3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
15,Cambodia 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
16,South-East Asia Region,,,,
17,Thailand 35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
18,India 3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
19,Nepal 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Sri Lanka 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Region of the Americas,,,,
22,United States of,,,,
23,15 (0),,13 (0) 0 (0) 2 (0),0 (0),0 (0)
24,America,,,,
25,Canada 8 (0),,7 (0) 0 (0) 0 (0),1 (0),0 (0)
26,European Region,,,,
27,Germany 16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
28,France 12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
29,The United,,,,
30,Kingdom 9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
31,Italy 3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
32,Russian Federation 2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
33,Spain 2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
34,Belgium 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
35,Finland 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
36,Sweden 1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
37,Eastern Mediterranean Region,,,,
38,United Arab,,,,
39,9 (0),,6 (0) 0 (0) 2 (0),1 (0),0 (0)
40,Emirates,,,,
41,Iran (Islamic,,,,
42,2 (2),,0 (0) 0 (0) 0 (0),2 (2),2 (2)
43,Republic of),,,,
44,Egypt 1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
45,Other,,,,
46,International,,,,
47,conveyance‡ 621 (79),,0 (0) 0 (0) 0 (0),621 (79),2 (2)
48,(Diamond Princess),,,,
