,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure†,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,,Confirmed  *,,In,Total cases with site of,Total
2,Country/Territory/Area,,,reporting,transmission under,deaths
3,,cases (new),,China country and reporting,,
4,,,,(new) country,investigation (new),(new)
5,,,,outside,,
6,,,,(new),,
7,,,,China (new),,
8,Western Pacific Region,,,,,
9,Republic of Korea,204 (100),,13 (0) 4 (0) 158 (86),29 (14),1 (0)
10,Japan,93 (8),,27 (0) 5 (2) 57 (5),4 (1),1 (0)
11,Singapore,85 (1),,23 (0) 0 (0) 55 (1),7 (0),0 (0)
12,Malaysia,22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
13,Australia,17 (2),,12 (0) 2 (2) 3 (0),0 (0),0 (0)
14,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
15,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
16,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
17,South-East Asia Region,,,,,
18,Thailand,35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
19,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
22,Region of the Americas,,,,,
23,United States of,,,,,
24,,15 (0),,13 (0) 0 (0) 2 (0),0 (0),0 (0)
25,America,,,,,
26,Canada,8 (0),,7 (0) 0 (0) 0 (0),1 (0),0 (0)
27,European Region,,,,,
28,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
29,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
30,The United Kingdom,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
31,Italy,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
32,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
33,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
34,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
35,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
36,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
37,Eastern Mediterranean Region,,,,,
38,United Arab Emirates,9 (0),,6 (0) 0 (0) 2 (0),1 (0),0 (0)
39,Iran (Islamic Republic of),5 (3),,0 (0) 0 (0) 5 (3),0 (0),2 (0)
40,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
41,,,,,,
42,Subtotal for all regions,566 (114),,175 (0) 20 (4) 320 (95),51 (15),6 (0)
43,International,,,,,
44,conveyance‡ (Diamond,634 (13),,0 (0) 0 (0) 0 (0),634 (13),2 (0)
45,Princess),,,,,
46,Grand total,1200 (127),,175 (0) 20 (4) 320 (95),685 (28),8 (0)
