,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases cases,Deaths cases Deaths
5,,
6,Hubei 5917 366 1125,106 63454 2250
7,Guangdong 11346 6 1,0 1339 5
8,Henan 9605 3 25,0 1270 19
9,Zhejiang 5737 2 4,0 1205 1
10,Hunan 6899 2 2,0 1013 4
11,Anhui 6324 1 0,0 989 6
12,Jiangxi 4648 0 0,0 934 1
13,Shandong 10047 2 3,0 750 4
14,Jiangsu 8051 0 0,0 631 0
15,Chongqing 3102 5 15,0 572 6
16,Sichuan 8341 1 21,0 526 3
17,Heilongjiang 3773 0 0,0 479 12
18,Beijing 2154 3 26,0 399 4
19,Shanghai 2424 0 48,1 334 3
20,Hebei 7556 1 0,1 309 6
21,Fujian 3941 0 0,0 293 1
22,Guangxi 4926 3 6,0 249 2
23,Shaanxi 3864 0 3,0 245 1
24,Yunnan 4830 0 14,0 174 2
25,Hainan 934 0 11,0 168 4
26,Guizhou 3600 0 2,0 146 2
27,Tianjin 1560 2 31,0 133 3
28,Shanxi 3718 0 2,0 132 0
29,Liaoning 4359 0 14,0 121 1
30,Jilin 2704 0 7,0 91 1
31,Gansu 2637 0 0,0 91 2
32,Xinjiang 2487 0 0,1 76 2
33,Inner Mongolia 2534 0 0,0 75 0
34,Ningxia 688 0 1,0 71 0
35,Hong Kong SAR 745 0 0,0 68* 2
36,Taipei and environs 2359 0 0,0 26 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 397 1361,109 76392 2348
