,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure‡,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,,Confirmed  †,,In reporting,Total cases with site of,Total
2,Country/Territory/Area,,,China reporting,transmission under,deaths
3,,cases (new),,country and,,
4,,,,(new) country,investigation (new),(new)
5,,,,outside,,
6,,,,(new),,
7,,,,China (new),,
8,Western Pacific Region,,,,,
9,Republic of Korea,763 (161),,13 (0) 4 (0) 605 (129),141 (32),7 (2)
10,Japan,144 (12),,28 (0) 5 (0) 104 (10),7 (2),1 (0)
11,Singapore,89 (0),,24 (0) 0 (0) 65 (0),0 (0),0 (0)
12,Australia,22 (0),,12 (0) 7 (0) 3 (0),0 (0),0 (0)
13,Malaysia,22 (0),,18 (0) 2 (0) 2 (0),0 (0),0 (0)
14,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
15,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
16,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
17,South-East Asia Region,,,,,
18,Thailand,35 (0),,23 (0) 0 (0) 6 (0),6 (0),0 (0)
19,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
22,Region of the Americas,,,,,
23,United States of America,35 (0),,14 (0) 18 (0) 2 (0),1 (0),0 (0)
24,Canada,9 (0),,7 (0) 1 (0) 1 (0),0 (0),0 (0)
25,European Region,,,,,
26,Italy,124 (48),,3 (0) 0 (0) 10 (0),111 (48),2 (0)
27,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
28,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
29,The United Kingdom,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
30,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
31,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
32,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
33,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
34,Israel,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
35,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
36,Eastern Mediterranean Region,,,,,
37,Iran (Islamic Republic of),43 (15),,0 (0) 0 (0) 28 (0),15 (15),8 (3)
38,United Arab Emirates,13 (0),,6 (0) 2 (0) 5 (0),0 (0),0 (0)
39,Kuwait,3 (3),,0 (0) 3 (3) 0 (0),0 (0),0 (0)
40,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
41,Lebanon,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
42,,,,,,
43,Subtotal for all regions,1374 (239),,179 (0) 52 (3) 862 (139),281 (97),20 (5)
44,International conveyance§,,,,,
45,,695 (61),,0 (0) 0 (0) 0 (0),695 (61),3 (1)
46,(Diamond Princess),,,,,
47,Grand total,2069 (300),,179 (0) 52 (3) 862 (139),976 (158),23 (6)
